ID,FID_Grilla,ROW,COL,LAT,LON,material,ACANT (m2),FAE
1.0,1565.0,17.0,31.0,4.504471,-74.125923,ARCILLA,151808.96875,0.1
2.0,1565.0,17.0,31.0,4.504471,-74.125923,ARENA,151808.96875,0.1
3.0,1667.0,18.0,33.0,4.513443,-74.107941,ARCILLA,28903.34,0.1
4.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,9772.0,0.08
5.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,3178.6,0.08
6.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,12247.9,0.08
7.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,114794.4,0.08
8.0,1664.0,19.0,33.0,4.5224,-74.107941,ARCILLA,99962.35938,0.05
9.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,42305.2,0.08
10.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,25460.4,0.08
11.0,1664.0,19.0,33.0,4.5224,-74.107941,ARENA,13928.5,0.08
12.0,579.0,19.0,32.0,4.5224,-74.116936,ARENA,50113.8,0.08
13.0,579.0,19.0,32.0,4.5224,-74.116936,ARENA,33143.7,0.08
14.0,1786.0,20.0,33.0,4.531372,-74.107941,ARCILLA,157499.0,0.1
15.0,1796.0,20.0,29.0,4.531372,-74.143913,ARCILLA,7412.1,0.1
16.0,1796.0,20.0,29.0,4.531372,-74.143913,ARCILLA,2765.45,0.1
17.0,1796.0,20.0,29.0,4.531372,-74.143913,ARCILLA,2765.45,0.1
18.0,1796.0,20.0,29.0,4.531372,-74.143913,ARCILLA,8977.5,0.1
19.0,1794.0,21.0,29.0,4.540337,-74.143913,ARCILLA,16849.1,0.05
20.0,1910.0,23.0,28.0,4.558266,-74.152908,ARCILLA,131039.4,0.5
21.0,2635.0,39.0,40.0,4.701714,-74.044975,ARCILLA,116696.92188,0.08
22.0,2846.0,42.0,43.0,4.728607,-74.01799,ARENA,18335.1,0.05
23.0,2846.0,42.0,43.0,4.728607,-74.01799,ARENA,2671.2,0.05
24.0,2846.0,42.0,43.0,4.728607,-74.01799,ARENA,13477.8,0.05
25.0,2846.0,42.0,43.0,4.728607,-74.01799,ARENA,44318.4,0.05
26.0,2846.0,42.0,43.0,4.728607,-74.01799,ARENA,14020.2,0.05
27.0,2846.0,42.0,43.0,4.728607,-74.01799,ARENA,16609.8,0.05
28.0,297.0,45.0,43.0,4.755493,-74.01799,ARENA,185245.65,0.05
29.0,297.0,45.0,43.0,4.755493,-74.01799,ARCILLA,185245.65,0.05
