ID,FID_Grilla,ROW,COL,LAT,LON,Material,ACANT(m2),FAE,AREA Dia(m2),PM25,PM10
1,1565,17,31,4.504471,-74.125923,ARCILLA,151808.96875,0.1,15180.896875,70336.1314013,139688.540685
2,1565,17,31,4.504471,-74.125923,ARENA,151808.96875,0.1,15180.896875,332006.214656,737791.588125
3,1667,18,33,4.513443,-74.107941,ARCILLA,28903.34,0.1,2890.334,13391.4954888,26595.6973344
4,1664,19,33,4.5224,-74.107941,ARENA,9772.0,0.08,781.76,17097.0912,37993.536
5,1664,19,33,4.5224,-74.107941,ARENA,3178.6,0.08,254.288,5561.27856,12358.3968
6,1664,19,33,4.5224,-74.107941,ARENA,12247.9,0.08,979.832,21428.92584,47619.8352
7,1664,19,33,4.5224,-74.107941,ARENA,114794.4,0.08,9183.552,200844.28224,446320.6272
8,1664,19,33,4.5224,-74.107941,ARCILLA,99962.35938,0.05,4998.117969,23157.280174,45990.6823036
9,1664,19,33,4.5224,-74.107941,ARENA,42305.2,0.08,3384.416,74017.17792,164482.6176
10,1664,19,33,4.5224,-74.107941,ARENA,25460.4,0.08,2036.832,44545.51584,98990.0352
11,1664,19,33,4.5224,-74.107941,ARENA,13928.5,0.08,1114.28,24369.3036,54154.008
12,579,19,32,4.5224,-74.116936,ARENA,50113.8,0.08,4009.104,87679.10448,194842.4544
13,579,19,32,4.5224,-74.116936,ARENA,33143.7,0.08,2651.496,57988.21752,128862.7056
14,1786,20,33,4.531372,-74.107941,ARCILLA,157499.0,0.1,15749.9,72972.43668,144924.27984
15,1796,20,29,4.531372,-74.143913,ARCILLA,7412.1,0.1,741.21,3434.174172,6820.317936
16,1796,20,29,4.531372,-74.143913,ARCILLA,2765.45,0.1,276.545,1281.288294,2544.656472
17,1796,20,29,4.531372,-74.143913,ARCILLA,2765.45,0.1,276.545,1281.288294,2544.656472
18,1796,20,29,4.531372,-74.143913,ARCILLA,8977.5,0.1,897.75,4159.4553,8260.7364
19,1794,21,29,4.540337,-74.143913,ARCILLA,16849.1,0.05,842.455,3903.262506,7751.933928
20,1910,23,28,4.558266,-74.152908,ARCILLA,131039.4,0.5,65519.7,303565.87404,602886.07152
21,2635,39,40,4.701714,-74.044975,ARCILLA,116696.92188,0.08,9335.7537504,43254.4142764,85903.8717097
22,2846,42,43,4.728607,-74.01799,ARENA,18335.1,0.05,916.755,20049.43185,44554.293
23,2846,42,43,4.728607,-74.01799,ARENA,2671.2,0.05,133.56,2920.9572,6491.016
24,2846,42,43,4.728607,-74.01799,ARENA,13477.8,0.05,673.89,14737.9743,32751.054
25,2846,42,43,4.728607,-74.01799,ARENA,44318.4,0.05,2215.92,48462.1704,107693.712
26,2846,42,43,4.728607,-74.01799,ARENA,14020.2,0.05,701.01,15331.0887,34069.086
27,2846,42,43,4.728607,-74.01799,ARENA,16609.8,0.05,830.49,18162.8163,40361.814
28,297,45,43,4.755493,-74.01799,ARENA,185245.65,0.05,9262.2825,202566.118275,450146.9295
29,297,45,43,4.755493,-74.01799,ARCILLA,185245.65,0.05,9262.2825,42914.007279,85227.818652
